Fecha	PAH
1.42E+03	             NaN
1.42E+03	             NaN
1.42E+03	             NaN
1.42E+03	             NaN
1.42E+03	             NaN
1.42E+03	22.00
1.42E+03	             NaN
1.42E+03	             NaN
1.42E+03	             NaN
1.43E+03	             NaN
1.43E+03	             NaN
1.43E+03	             NaN
1.43E+03	             NaN
1.43E+03	8.00
1.43E+03	             NaN
1.43E+03	             NaN
1.43E+03	             NaN
1.43E+03	             NaN
1.43E+03	             NaN
1.44E+03	             NaN
1.44E+03	             NaN
1.44E+03	7.00
1.44E+03	             NaN
1.44E+03	             NaN
1.44E+03	             NaN
1.44E+03	             NaN
1.44E+03	             NaN
1.44E+03	             NaN
1.44E+03	             NaN
1.45E+03	13.00
1.45E+03	             NaN
1.45E+03	             NaN
1.45E+03	             NaN
1.45E+03	             NaN
1.45E+03	             NaN
1.45E+03	             NaN
1.45E+03	             NaN
1.45E+03	19.00
1.45E+03	             NaN
1.46E+03	             NaN
1.46E+03	             NaN
1.46E+03	             NaN
1.46E+03	             NaN
1.46E+03	             NaN
1.50E+03	             NaN
1.50E+03	14.00
1.50E+03	             NaN
1.50E+03	             NaN
1.50E+03	             NaN
1.51E+03	             NaN
1.51E+03	             NaN
1.51E+03	             NaN
1.51E+03	             NaN
1.51E+03	             NaN
1.51E+03	1.00
1.51E+03	             NaN
1.51E+03	             NaN
1.51E+03	             NaN
1.51E+03	             NaN
1.52E+03	             NaN
1.52E+03	             NaN
1.52E+03	             NaN
1.52E+03	1.00
1.52E+03	             NaN
1.52E+03	             NaN
1.52E+03	             NaN
1.52E+03	             NaN
1.52E+03	             NaN
1.52E+03	             NaN
1.53E+03	             NaN
1.53E+03	24.00
1.53E+03	             NaN
1.53E+03	             NaN
1.53E+03	             NaN
1.53E+03	             NaN
1.53E+03	             NaN
1.53E+03	             NaN
1.53E+03	             NaN
1.53E+03	10.00
1.53E+03	             NaN
1.54E+03	             NaN
1.54E+03	             NaN
1.54E+03	             NaN
1.54E+03	             NaN
1.54E+03	             NaN
1.54E+03	             NaN
1.54E+03	7.00
1.54E+03	             NaN
1.54E+03	             NaN
1.54E+03	             NaN
1.55E+03	             NaN
1.55E+03	             NaN
1.55E+03	             NaN
1.55E+03	             NaN
1.55E+03	8.00
1.55E+03	             NaN
1.55E+03	             NaN
1.55E+03	             NaN
1.55E+03	             NaN
1.55E+03	             NaN
1.56E+03	             NaN
1.56E+03	             NaN
1.56E+03	16.00
1.56E+03	             NaN
1.56E+03	             NaN
1.60E+03	             NaN
1.60E+03	             NaN
1.60E+03	             NaN
1.60E+03	             NaN
1.60E+03	             NaN
1.61E+03	9.00
1.61E+03	             NaN
1.61E+03	             NaN
1.61E+03	             NaN
1.61E+03	             NaN
1.61E+03	             NaN
1.61E+03	             NaN
